"HYDROGENERAL","Please don't change this row, otherwise this file may not be valid anymore!"
ScheduleMode: 1-UseGivenSchedule; 2-PeakShaving; 3-LoadFollowing
"Generator Name","CurveName","ScheduleMode","Multiplier","Capacity","Spillage","RampUpRate","RampDownRate","FOR","OutageDuration","ReserveContribution","Automatically_Calculate_K_and_p_Factors","Bank","ModelType"
"MuckValley","HY_HatCrkPit1_2028[09]","3",.00325,"32.5",#FALSE#,"21.67","21.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Belden_1","NA","3",.0119,"119",#TRUE#,"79.33","79.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Rock_Creek_H1","NA","3",.0057,"57",#FALSE#,"38","38","0","1",".5",#TRUE#,#FALSE#,"NA"
"Rock_Creek_H2","NA","3",.00569,"56.9",#FALSE#,"37.93","37.93","0","1",".5",#TRUE#,#FALSE#,"NA"
"Poe_1","NA","3",.006,"60",#FALSE#,"45.33","45.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Poe_2","NA","3",.006,"60",#FALSE#,"40","40","0","1",".5",#TRUE#,#FALSE#,"NA"
"Woodleaf","HY_Woodleaf_2028[09]","3",.006,"60",#FALSE#,"40","40","0","1",".5",#TRUE#,#FALSE#,"NA"
"Pit_3_H1","HY_Pit3_2028[09]","3",.00267,"26.7",#FALSE#,"17.8","17.8","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Pit_5_H1","NA","3",.0041,"41",#FALSE#,"27.33","27.33","0","1",".25",#TRUE#,#FALSE#,"NA"
"Caribou12","None","3",.0024,"24",#TRUE#,"16","16","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Caribou13","None","3",.0024,"24",#TRUE#,"16","16","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Caribou11","None","3",.0024,"24",#TRUE#,"16","16","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Cresta_1","HY_Cresta_2028[05]","3",.00352,"35.2",#FALSE#,"23.47","23.47","0","1",".5",#TRUE#,#FALSE#,"NA"
"Cresta_2","HY_Cresta_2028[05]","3",.00352,"35.2",#FALSE#,"23.47","23.47","0","1",".5",#TRUE#,#FALSE#,"NA"
"Forbestown_1","HY_SFeatherPalermo_2028[05]","3",.0036,"36",#FALSE#,"26","26","0","1",".5",#TRUE#,#FALSE#,"NA"
"Pit_1_H1","HY_Pit1_2028[09]","3",.0032,"32",#FALSE#,"21.33","21.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Bucks_Creek_H1","HY_BucksCreek_2028[05]","3",.00295,"29.5",#FALSE#,"19.67","19.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Bucks_Creek_H2","HY_BucksCreek_2028[05]","3",.00295,"29.5",#FALSE#,"19.67","19.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Kilarc_2","HY_BattleRiver_2028[09]","3",.00016,"1.6",#FALSE#,"1.07","1.07","0","1",".5",#TRUE#,#FALSE#,"NA"
"Sly_Creek_1","HY_SFeatherPalermo_2028[05]","3",.0013,"13",#FALSE#,"8.67","8.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Kelly_Ridge_1","HY_Generic_2028[Keswick09]","3",.0011,"11",#FALSE#,"7.33","7.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Toadtown_1","HY_WestFeatherRiver_2028[09]","3",.00015,"1.5",#FALSE#,"1","1","0","1",".5",#TRUE#,#FALSE#,"NA"
"Centerville1","HY_WestFeatherRiver_2028[09]","3",.000507,"5.07",#FALSE#,"3.38","3.38","0","1",".5",#TRUE#,#FALSE#,"NA"
"Centerville2","HY_WestFeatherRiver_2028[09]","3",.000083,".83",#FALSE#,".55",".55","0","1",".5",#TRUE#,#FALSE#,"NA"
"BlackButte","HY_BlackButt_2028[09]","3",.00062,"6.2",#TRUE#,"4.13","4.13","0","1",".5",#TRUE#,#FALSE#,"NA"
