ba,year,month,hydro_gen_mwh,hydro_capacity,hours_in_month,hydro_num_sites,hydro_cf
PJM,2019,8,466438.29644,3307.5999999999985,744,79,0.18954323199292092
PJM,2019,9,272289.10154,3307.5999999999985,720,79,0.11433646985561875
PJM,2019,10,522321.5461599999,3307.5999999999985,744,79,0.2122521129896999
PJM,2019,11,666520.6129000002,3307.5999999999985,720,79,0.2798775769356098
PJM,2019,12,901317.6792200003,3307.5999999999985,744,79,0.3662620914183304
PSCO,1982,1,9370.508329999999,38.932,744,14,0.3235068648092234
PSCO,1982,2,8457.38135,38.932,672,14,0.3232659229859878
PSCO,1982,3,7852.307889999999,38.932,744,14,0.2710926043230601
PSCO,1982,4,7051.7590900000005,38.932,720,14,0.25156965599563913
PSCO,1982,5,8642.7911,38.932,744,14,0.2983831990213982
PSCO,1982,6,13796.11196,38.932,720,14,0.4921726757194881
PSCO,1982,7,12791.541949999997,38.932,744,14,0.44161442331487255
PSCO,1982,8,11891.9966,38.932,744,14,0.4105585738685262
PSCO,1982,9,10554.25064,38.932,720,14,0.3765201234060527
PSCO,1982,10,8322.053609999999,38.932,744,14,0.28731007724800556
PSCO,1982,11,6141.53109,38.932,720,14,0.21909751083085038
PSCO,1982,12,6448.013359999999,38.932,744,14,0.22261082460844323
PSCO,1983,1,7638.50115,38.932,744,14,0.2637111533177782
PSCO,1983,2,7948.12432,38.932,672,14,0.30380062551065834
PSCO,1983,3,9755.092760000001,38.932,744,14,0.33678423449101774
PSCO,1983,4,10948.420209999998,38.932,720,14,0.390582019432743
PSCO,1983,5,14576.337350000002,38.932,744,14,0.5032325921319665
PSCO,1983,6,23288.07422,38.932,720,14,0.8307959397867506
PSCO,1983,7,20476.246140000003,38.932,744,14,0.7069206876008791
PSCO,1983,8,19558.92368,38.932,744,14,0.6752511022803476
PSCO,1983,9,17910.449080000002,38.932,720,14,0.6389505733643847
PSCO,1983,10,14253.6734,38.932,744,14,0.49209296136964475
PSCO,1983,11,12010.818979999998,38.932,720,14,0.42848281690583
PSCO,1983,12,10234.370859999999,38.932,744,14,0.3533308027285512
PSCO,1984,1,10330.871060000001,38.932,744,14,0.35666236981712807
PSCO,1984,2,8677.37497,38.932,696,14,0.3202376649796698
PSCO,1984,3,9000.49738,38.932,744,14,0.31073262907258203
PSCO,1984,4,9803.012639999999,38.932,720,14,0.3497199047912599
PSCO,1984,5,24307.687579999998,38.932,744,14,0.8391971409482648
PSCO,1984,6,23376.21245,38.932,720,14,0.8339402480250464
PSCO,1984,7,24147.883769999997,38.932,744,14,0.8336800838434589
PSCO,1984,8,22708.86421,38.932,744,14,0.783999459286056
PSCO,1984,9,17904.98979,38.932,720,14,0.6387558146255009
PSCO,1984,10,15075.15967,38.932,744,14,0.5204539038428183
PSCO,1984,11,11331.816710000001,38.932,720,14,0.4042595890127516
PSCO,1984,12,10182.173719999999,38.932,744,14,0.35152875181319726
PSCO,1985,1,8438.72604,38.932,744,14,0.29133806918928945
