ba,year,month,hydro_gen_mwh,hydro_capacity,hours_in_month,hydro_num_sites,hydro_cf,solar_gen_mwh,solar_capacity,solar_cf,solar_num_sites,wind_gen_mwh,wind_capacity,wind_cf,wind_num_sites,datetime_utc,datetime_local
NWMT,2016,12,257955.67251,681.07,744,15,0.5090733897965108,1118717,14000,0.10740370583717358,6,124857277.5,451100,0.37202155036791784,13,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z
NWMT,2017,1,236692.13184,681.07,744,15,0.4671099678541876,1328818.045760431,28000,0.06378734858681025,6,295152235.29367423,902200,0.4397140253539053,13,2017-01-01T00:00:00Z,2017-01-01T00:00:00Z
NWMT,2017,2,241033.01296,681.07,672,15,0.526642017427759,1518410.9999999995,14000,0.16139572704081628,6,79449234.4,451100,0.26208828947229523,13,2017-02-01T00:00:00Z,2017-02-01T00:00:00Z
NWMT,2017,3,296928.02158999996,681.07,744,15,0.5859849989169477,1848880,14000,0.17750384024577576,6,91032513.10000002,451100,0.2712381475509091,13,2017-03-01T00:00:00Z,2017-03-01T00:00:00Z
NWMT,2017,4,385056.15865,681.07,720,15,0.7852353214019443,2126494,14000,0.21096170634920636,6,74451539.99999999,451100,0.22922836769378552,13,2017-04-01T00:00:00Z,2017-04-01T00:00:00Z
NWMT,2017,5,472196.13259000005,681.07,744,15,0.9318751688124837,2445027,14000,0.23473761520737327,6,65688203.4,451100,0.19572289064008408,13,2017-05-01T00:00:00Z,2017-05-01T00:00:00Z
NWMT,2017,6,439810.38158,681.07,720,15,0.8968942284852428,2462391,14000,0.2442848214285714,6,87800465.29999998,451100,0.27032828795044206,13,2017-06-01T00:00:00Z,2017-06-01T00:00:00Z
NWMT,2017,7,332470.82284000004,681.07,744,15,0.6561284237121506,2478196,14000,0.2379220430107527,6,37124934.39999999,451100,0.11061650493536704,13,2017-07-01T00:00:00Z,2017-07-01T00:00:00Z
NWMT,2017,8,262982.30237,681.07,744,15,0.5189934023210788,2242769,14000,0.2153196044546851,6,31796734.899999984,451100,0.09474073799291095,13,2017-08-01T00:00:00Z,2017-08-01T00:00:00Z
NWMT,2017,9,232086.49937,681.07,720,15,0.4732881498760937,1728016,14000,0.17143015873015874,6,44802736.20000001,451100,0.13794285635114167,13,2017-09-01T00:00:00Z,2017-09-01T00:00:00Z
NWMT,2017,10,219859.7585,681.07,744,15,0.4338914180501238,1658605.9999999998,14000,0.15923636712749614,6,139765390.70000002,451100,0.4164413831303648,13,2017-10-01T00:00:00Z,2017-10-01T00:00:00Z
NWMT,2017,11,221972.13492,681.07,720,15,0.45266218132252684,1125411.0000000002,14000,0.11164791666666668,6,99017309.9,451100,0.3048637586516909,13,2017-11-01T00:00:00Z,2017-11-01T00:00:00Z
NWMT,2017,12,228596.73875999998,681.07,744,15,0.4511337764532753,1050115,14000,0.10081749231950846,6,119650208.79999992,451100,0.35650670165878845,13,2017-12-01T00:00:00Z,2017-12-01T00:00:00Z
NWMT,2018,1,255718.68516000005,681.07,744,15,0.5046587137317609,1221923.3701211305,28000,0.05865607575466256,6,122546868.5329744,902200,0.1825687574533673,13,2018-01-01T00:00:00Z,2018-01-01T00:00:00Z
NWMT,2018,2,271540.52329,681.07,672,15,0.5932990142830223,1547926.0000000002,14000,0.16453295068027213,6,96870600.6,451100,0.3195581455648099,13,2018-02-01T00:00:00Z,2018-02-01T00:00:00Z
NWMT,2018,3,288909.16198999994,681.07,744,15,0.5701598457068896,2070255.9999999995,14000,0.19875729646697385,6,61374358.39999996,451100,0.1828694684200865,13,2018-03-01T00:00:00Z,2018-03-01T00:00:00Z
NWMT,2018,4,335916.2778999999,681.07,720,15,0.6850256008519272,2159472,14000,0.21423333333333333,6,64787947.90000001,451100,0.1994751961255204,13,2018-04-01T00:00:00Z,2018-04-01T00:00:00Z
NWMT,2018,5,463124.05519000004,681.07,744,15,0.9139714989703899,2166916,14000,0.20803725038402457,6,42590991.2,451100,0.12690302796271005,13,2018-05-01T00:00:00Z,2018-05-01T00:00:00Z
NWMT,2018,6,466955.71696000005,681.07,720,15,0.952251026897219,2246685,14000,0.22288541666666667,6,67215046.30000001,451100,0.2069479737801424,13,2018-06-01T00:00:00Z,2018-06-01T00:00:00Z
NWMT,2018,7,380150.08436,681.07,744,15,0.7502230526412343,2497781,14000,0.2398023233486943,6,39688539.900000006,451100,0.11825495830979472,13,2018-07-01T00:00:00Z,2018-07-01T00:00:00Z
NWMT,2018,8,302154.61051,681.07,744,15,0.5962996289953932,2184107,14000,0.2096876920122888,6,47789311.40000002,451100,0.14239180986501343,13,2018-08-01T00:00:00Z,2018-08-01T00:00:00Z
NWMT,2018,9,223110.21751999998,681.07,720,15,0.4549830444904504,1762700.0000000002,14000,0.17487103174603175,6,42486188.8,451100,0.13081045345944484,13,2018-09-01T00:00:00Z,2018-09-01T00:00:00Z
NWMT,2018,10,192760.9437,681.07,744,15,0.3804121307932442,1504824,14000,0.14447235023041474,6,79885475.99999997,451100,0.2380247209330596,13,2018-10-01T00:00:00Z,2018-10-01T00:00:00Z
NWMT,2018,11,189935.36072,681.07,720,15,0.3873303949830577,1113563,14000,0.11047251984126984,6,121788530.6,451100,0.3749739236188083,13,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z
NWMT,2018,12,211069.86492,681.07,744,15,0.41654463564684974,1083560.0000000002,14000,0.1040284178187404,6,121166375.1,451100,0.36102423198489714,13,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z
NWMT,2019,1,264910.85923999996,681.07,744,15,0.5227993933802139,1206294.3633916553,28000,0.05790583541626609,6,128921652.09044412,902200,0.19206582846834996,13,2019-01-01T00:00:00Z,2019-01-01T00:00:00Z
NWMT,2019,2,265428.29178999993,681.07,672,15,0.579944171771554,1544582.9999999998,14000,0.16417761479591833,6,45274573.59999998,451100,0.149352421593776,13,2019-02-01T00:00:00Z,2019-02-01T00:00:00Z
NWMT,2019,3,312766.1485500001,681.07,744,15,0.6172414116994276,2087727,14000,0.2004346198156682,6,45476492.3,451100,0.1355005932332673,13,2019-03-01T00:00:00Z,2019-03-01T00:00:00Z
