"HR_GENERAL","HR_GENERAL"
"Note: For hourly resource units, there are three valid types - Wind, Solar and Others."
"GeneratorKey","GeneratorName","Type","CommitmentShapeID","CommitmentShapeName","CommitmentMultiplier","DispatchShapeID","DispatchShapeName","DispatchMultiplier","CommitmentVariation(%)","CommitmentPdf","DispatchVariation(%)","DispatchPdf","Capacity(MW)","Spillage","IfEnableMultiBlock","ModelType","IfUseInvertLoadingRatio","InvertLoadingRatio","TargetCapacityFactor"
"16450","ADS30_PV_SCE_24","Solar","2288","PV_CA_Cnty_ADS30_PV_SCE_24_33.74-117.16_T[09]","17.6","2288","PV_CA_Cnty_ADS30_PV_SCE_24_33.74-117.16_T[09]","17.6","0","0","0","0","17.6",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16451","ADS30_PV_SCE_25","Solar","2289","PV_CA_Cnty_ADS30_PV_SCE_25_33.74-117.16_T[09]","20","2289","PV_CA_Cnty_ADS30_PV_SCE_25_33.74-117.16_T[09]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16452","ADS30_PV_SCE_26","Solar","2290","PV_CA_Cnty_ADS30_PV_SCE_26_33.74-117.16_T[09]","5","2290","PV_CA_Cnty_ADS30_PV_SCE_26_33.74-117.16_T[09]","5","0","0","0","0","5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16453","ADS30_PV_SCE_27","Solar","2291","PV_CA_Cnty_ADS30_PV_SCE_27_33.77-114.93_T[09]","21","2291","PV_CA_Cnty_ADS30_PV_SCE_27_33.77-114.93_T[09]","21","0","0","0","0","21",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16454","ADS30_PV_SCE_28","Solar","2292","PV_CA_Cnty_ADS30_PV_SCE_28_33.77-114.93_T[09]","20","2292","PV_CA_Cnty_ADS30_PV_SCE_28_33.77-114.93_T[09]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16455","ADS30_PV_SCE_29","Solar","2293","PV_CA_Cnty_ADS30_PV_SCE_29_33.77-114.93_T[09]","3","2293","PV_CA_Cnty_ADS30_PV_SCE_29_33.77-114.93_T[09]","3","0","0","0","0","3",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16456","ADS30_PV_SCE_30","Solar","2294","PV_CA_Cnty_ADS30_PV_SCE_30_34.16-116.23_T[09]","3.2","2294","PV_CA_Cnty_ADS30_PV_SCE_30_34.16-116.23_T[09]","3.2","0","0","0","0","3.2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16457","ADS30_PV_SCE_31","Solar","2295","PV_CA_Cnty_ADS30_PV_SCE_31_34.16-116.23_T[09]","18.5","2295","PV_CA_Cnty_ADS30_PV_SCE_31_34.16-116.23_T[09]","18.5","0","0","0","0","18.5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16458","ADS30_PV_SCE_32","Solar","2296","PV_CA_Cnty_ADS30_PV_SCE_32_34.16-116.23_T[09]","14","2296","PV_CA_Cnty_ADS30_PV_SCE_32_34.16-116.23_T[09]","14","0","0","0","0","14",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16459","ADS30_PV_SCE_33","Solar","2297","PV_CA_Cnty_ADS30_PV_SCE_33_34.16-116.23_T[09]","12.6","2297","PV_CA_Cnty_ADS30_PV_SCE_33_34.16-116.23_T[09]","12.6","0","0","0","0","12.6",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16460","ADS30_PV_SCE_34","Solar","2298","PV_CA_Cnty_ADS30_PV_SCE_34_34.16-116.23_T[09]","4.6","2298","PV_CA_Cnty_ADS30_PV_SCE_34_34.16-116.23_T[09]","4.6","0","0","0","0","4.6",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16463","ADS30_PV_SCE_38","Solar","2299","PV_CA_Cnty_ADS30_PV_SCE_38_34.03-117.52_T[09]","16.5","2299","PV_CA_Cnty_ADS30_PV_SCE_38_34.03-117.52_T[09]","16.5","0","0","0","0","16.5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16464","ADS30_PV_SCE_39","Solar","2300","PV_CA_Cnty_ADS30_PV_SCE_39_34.03-117.52_T[09]","7.5","2300","PV_CA_Cnty_ADS30_PV_SCE_39_34.03-117.52_T[09]","7.5","0","0","0","0","7.5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16466","ADS30_PV_SCE_41","Solar","2301","PV_CA_Cnty_ADS30_PV_SCE_41_36.21-119.11_T[09]","19.9","2301","PV_CA_Cnty_ADS30_PV_SCE_41_36.21-119.11_T[09]","19.9","0","0","0","0","19.9",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16467","ADS30_PV_SCE_42","Solar","2302","PV_CA_Cnty_ADS30_PV_SCE_42_36.21-119.11_T[09]","8.7","2302","PV_CA_Cnty_ADS30_PV_SCE_42_36.21-119.11_T[09]","8.7","0","0","0","0","8.7",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16477","ADS30_PV_SCE_52","Solar","2303","PV_CA_Cnty_ADS30_PV_SCE_52_35.30-116.81_T[09]","15.5","2303","PV_CA_Cnty_ADS30_PV_SCE_52_35.30-116.81_T[09]","15.5","0","0","0","0","15.5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16478","ADS30_PV_SCE_53","Solar","2304","PV_CA_Cnty_ADS30_PV_SCE_53_35.30-116.81_T[09]","12","2304","PV_CA_Cnty_ADS30_PV_SCE_53_35.30-116.81_T[09]","12","0","0","0","0","12",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17068","ADS30_PV_WACM_Distributed","Solar","2720","PV_CO_Cnty_ADS30_PV_WACM_Distributed_37.66-108.22_F[09]","10.249","2720","PV_CO_Cnty_ADS30_PV_WACM_Distributed_37.66-108.22_F[09]","10.249","0","0","0","0","10.249",#FALSE#,#FALSE#,"NA",#TRUE#,"1","1"
"17066","ADS30_PV_WACM_NewTSresource","Wind","3000","WT_CO_NA_ADS30_PV_WACM_NewTSresource_39.22-103.32 [09]",".01","3000","WT_CO_NA_ADS30_PV_WACM_NewTSresource_39.22-103.32 [09]",".01","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17067","ADS30_PV_WACM_Piceance","Solar","2733","PV_CO_Rio Blanco_ADS30_PV_WACM_Piceance_39.95-108.33_F[09]","10","2733","PV_CO_Rio Blanco_ADS30_PV_WACM_Piceance_39.95-108.33_F[09]","10","0","0","0","0","10",#FALSE#,#FALSE#,"NA",#TRUE#,"1","1"
"17070","ADS30_WT_PACW_LNR","Wind","3052","WT_OR_NA_ADS30_WT_PACW_LNR_42.81-123.13 [09]",".004","3052","WT_OR_NA_ADS30_WT_PACW_LNR_42.81-123.13 [09]",".004","0","0","0","0","40",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17071","ADS30_WT_PGE_Wheatridge","Wind","3051","WT_OR_Morrow_ADS30_WT_PGE_Wheatridge_45.69-119.81 [09]",".01","3051","WT_OR_Morrow_ADS30_WT_PGE_Wheatridge_45.69-119.81 [09]",".01","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16431","ADS30_WT_SCE_2","Wind","2966","WT_CA_NA_ADS30_WT_SCE_2_34.85-118.44 [09]",".0165","2966","WT_CA_NA_ADS30_WT_SCE_2_34.85-118.44 [09]",".0165","0","0","0","0","165",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16432","ADS30_WT_SCE_3","Wind","2967","WT_CA_NA_ADS30_WT_SCE_3_33.98-116.68 [09]",".0042","2967","WT_CA_NA_ADS30_WT_SCE_3_33.98-116.68 [09]",".0042","0","0","0","0","42",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16490","ADS30_WT_SCE_4","Wind","2968","WT_CA_NA_ADS30_WT_SCE_4_34.15-116.22 [09]",".00051","2968","WT_CA_NA_ADS30_WT_SCE_4_34.15-116.22 [09]",".00051","0","0","0","0","5.1",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16482","ADS30_WT_WACM_1","Wind","1193","WT_CO_NA_Kit Carson Windpower_39.34-102.35 [09]",".0104","1193","WT_CO_NA_Kit Carson Windpower_39.34-102.35 [09]",".0104","0","0","0","0","104.2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14966","AERA_12_36204_1","Wind","2096","WT-CISO-AERA_12_36204_1_2028[09]",".00032","2096","WT-CISO-AERA_12_36204_1_2028[09]",".00032","0","0","0","0","3.2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14965","AERA_12_36204_2","Wind","2142","WT-CISO-AERA_12_36204_2_2028[09]",".00032","2142","WT-CISO-AERA_12_36204_2_2028[09]",".00032","0","0","0","0","3.2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13175","AguaCalienteSolar","Solar","2226","PV_AZ_Cnty_AguaCalienteSolar_32.98-113.49_F[09]","290","2226","PV_AZ_Cnty_AguaCalienteSolar_32.98-113.49_F[09]","290","0","0","0","0","290",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17090","Airport Solar SE-OR","Solar","2878","PV_OR_Cnty_Airport Solar SE-OR_42.19-120.37_F[09]","48.25","2878","PV_OR_Cnty_Airport Solar SE-OR_42.19-120.37_F[09]","48.25","0","0","0","0","48.25",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16816","Aiya Solar","Solar","2818","PV_NV_Clark_Aiya Solar_36.66-114.64_T[09]","100","2818","PV_NV_Clark_Aiya Solar_36.66-114.64_T[09]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16749","Ajo Solar","Solar","2256","PV_AZ_PIMA_Ajo Solar_32.37-112.83_F[09]","4.5","2256","PV_AZ_PIMA_Ajo Solar_32.37-112.83_F[09]","4.5","0","0","0","0","4.5",#FALSE#,#FALSE#,"NA",#TRUE#,"1","1"
"17297","Alamo Solar","Solar","2278","PV_CA_Cnty_ACACIA_G_29878_EQ_34.69-118.32_F[09]","20","2278","PV_CA_Cnty_ACACIA_G_29878_EQ_34.69-118.32_F[09]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13267","Alamogordo PV","Solar","2782","PV_NM_Otero_Alamogordo PV_32.91-105.96_F[09]","5","2782","PV_NM_Otero_Alamogordo PV_32.91-105.96_F[09]","5","0","0","0","0","5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16852","Alamosa","Solar","2721","PV_CO_Cnty_Alamosa_37.69-105.88_T[09]","6.95","2721","PV_CO_Cnty_Alamosa_37.69-105.88_T[09]","6.95","0","0","0","0","6.95",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13232","Albuquerque PV","Solar","2753","PV_NM_BerCntylillo_Albuquerque PV_35.17-106.60_F[09]","2","2753","PV_NM_BerCntylillo_Albuquerque PV_35.17-106.60_F[09]","2","0","0","0","0","2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13525","Alhambra","Solar","2688","PV_CA_Los Angeles_Alhambra_33.08-115.47_F[09]","54.4","2688","PV_CA_Los Angeles_Alhambra_33.08-115.47_F[09]","54.4","0","0","0","0","54.4",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16785","Allison Rd. Solar Park 1","Solar","2779","PV_NM_McKinley_Allison Rd. Solar Park 1_35.58-108.75_T[09]","4","2779","PV_NM_McKinley_Allison Rd. Solar Park 1_35.58-108.75_T[09]","4","0","0","0","0","4",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
